ID,번호,유형,공고명,지역,게시일,마감일,상태,조회수,URL
LH_lease_8,31,국민임대,남양주시 지역 국민임대주택 예비입주자 모집,경기도,2024.11.05,2024.11.21,접수마감,48590,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017094&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07
LH_lease_10,44,국민임대,[정정공고]남양주시 지역 국민임대주택 예비입주자 모집,경기도,2024.11.06,2024.11.21,접수마감,88350,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017134&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07
LH_lease_11,45,매입임대,[정정공고]24년 2차 든든전세주택 입주자 모집 통합공고,서울특별시 외,2024.11.06,2024.11.13,접수마감,403193,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017135&ccrCnntSysDsCd=03&uppAisTpCd=13&aisTpCd=26
LH_lease_12,46,매입임대,[정정공고]24년 1차 분양전환형 신혼·신생아 매입임대주택Ⅰ 예비입주자 모집공고,서울특별시 외,2024.11.06,2024.11.27,접수마감,167452,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017137&ccrCnntSysDsCd=03&uppAisTpCd=13&aisTpCd=26
LH_lease_13,48,가정어린이집,성남판교대장 A-10BL 가정어린이집 운영예정자 2차 모집 공고('24. 11. 6.),경기도,2024.11.06,2024.11.21,접수마감,6072,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017129&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=40
LH_lease_18,71,공공임대,수원역푸르지오자이 5년 공공임대주택 예비입주자 모집공고(2024.11.08),경기도,2024.11.08,2024.11.18,접수마감,104603,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060772&ccrCnntSysDsCd=02&uppAisTpCd=06&aisTpCd=08
LH_lease_19,72,행복주택(신혼희망),고양장항 A-2블록 신혼희망타운 행복주택 입주자모집 공고,경기도,2024.11.08,2024.12.04,접수마감,92184,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017136&ccrCnntSysDsCd=03&uppAisTpCd=39&aisTpCd=42
LH_lease_28,132,영구임대,"화성동탄지구내 공공임대(국민, 영구) (449호) 입주자격완화 대기자 모집-영구(2-2)",경기도,2024.11.15,2024.11.27,접수마감,54522,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017147&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=09
LH_lease_29,133,국민임대,"화성동탄지구내 공공임대(국민, 영구) (449호) 입주자격완화 대기자 모집-국민(2-1)",경기도,2024.11.15,2024.11.27,접수마감,95893,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017153&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07
LH_lease_32,136,국민임대,파주운정3 A24BL 국민임대주택 추가(예비)입주자 모집공고,경기도,2024.11.15,2024.12.05,접수마감,65088,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017167&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07
LH_lease_34,149,영구임대,군포시 영구임대주택 예비입주자 모집공고(2024.11.18),경기도,2024.11.18,2024.12.13,접수마감,45479,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017160&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=09
LH_lease_37,152,행복주택,[선계약후검증] 화성비봉 A-5블록 행복주택  입주자격완화 추가모집 공고,경기도,2024.11.18,2024.11.29,접수마감,55716,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017164&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=10
LH_lease_43,200,행복주택,고양시 지역 행복주택 입주자(예비입주자) 모집 공고(선계약 후검증),경기도,2024.11.22,2024.12.04,접수마감,116742,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017202&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=10
LH_lease_47,226,행복주택(신혼희망),[신규모집] 위례 A2-7블록 신혼희망타운 행복주택 입주자 모집,경기도,2024.11.26,2024.12.11,접수마감,110301,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017205&ccrCnntSysDsCd=03&uppAisTpCd=39&aisTpCd=42
LH_lease_48,227,행복주택,[신규모집]부천원종 A-1블록 행복주택 입주자모집,경기도,2024.11.26,2024.12.11,접수마감,115605,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017204&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=10
LH_lease_54,257,공공임대,오산운암6단지 50년공공임대주택 예비입주자 모집,경기도,2024.11.28,2024.12.10,접수마감,37631,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017203&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=08
LH_lease_56,261,영구임대,성남금토 A-2블록 영구임대주택 입주자 모집,경기도,2024.11.28,2024.12.13,접수마감,35531,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017210&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=09
LH_lease_61,277,영구임대,[정정공고]성남금토 A-2블록 영구임대주택 입주자 모집,경기도,2024.12.02,2024.12.13,접수마감,30221,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017230&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=09
LH_lease_64,284,국민임대,[정정공고]파주운정3 A24BL 국민임대주택 추가(예비)입주자 모집공고,경기도,2024.12.02,2024.12.05,접수마감,57662,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017233&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07
LH_lease_68,303,가정어린이집,성남판교대장 A-10BL 가정어린이집 운영예정자 3차 모집 공고('24. 12. 4.),경기도,2024.12.04,2024.12.19,접수마감,4106,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017240&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=40
LH_lease_72,311,국민임대,"평택안중2,평택송화 국민임대주택 예비입주자 모집(2024.12.05공고분)",경기도,2024.12.05,2024.12.20,접수마감,23750,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017253&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07
LH_lease_73,312,국민임대,가평군 지역 국민임대주택 예비입주자 모집,경기도,2024.12.05,2024.12.20,접수마감,10160,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017239&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07
LH_lease_74,314,매입임대,서울 가산동 디지털 청년 지원 주택 [에스키스 가산] 예비입주자 모집공고[24.12.05],서울특별시,2024.12.05,2024.12.14,접수마감,181605,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017247&ccrCnntSysDsCd=03&uppAisTpCd=13&aisTpCd=26
LH_lease_75,315,국민임대,"시흥능곡지구 국민임대주택 예비입주자 모집(능곡2,5,6,7,9,13)",경기도,2024.12.05,2024.12.18,접수마감,19968,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017249&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07
LH_lease_78,318,국민임대,파주시 해솔마을11 국민임대 예비입주자 모집공고,경기도,2024.12.05,2024.12.19,접수마감,13580,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017242&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07
LH_lease_79,319,국민임대,"화성태안6,8,12 국민임대주택 예비입주자 모집",경기도,2024.12.05,2024.12.19,접수마감,19969,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017246&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07
LH_lease_82,323,국민임대,김포양곡 양지마을 국민임대주택 예비자 모집공고,경기도,2024.12.05,2024.12.19,접수마감,15659,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017237&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07
LH_lease_84,325,국민임대,파주시 국민임대 예비입주자 모집('24.12.05),경기도,2024.12.05,2024.12.30,접수마감,97852,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017252&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07
LH_lease_86,327,국민임대,용인시 지역 국민임대주택 예비입주자 모집,경기도,2024.12.05,2024.12.20,접수마감,35907,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017248&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07
LH_lease_90,337,국민임대,[정정공고]용인시 지역 국민임대주택 예비입주자 모집,경기도,2024.12.06,2024.12.20,접수마감,92860,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017264&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07
LH_lease_97,371,국민임대,[정정공고]파주시 해솔마을11 국민임대 예비입주자 모집공고,경기도,2024.12.11,2024.12.19,접수마감,23002,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017278&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07
LH_lease_98,372,국민임대,[정정공고]김포양곡 양지마을 국민임대주택 예비자 모집공고,경기도,2024.12.11,2024.12.19,접수마감,20275,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017279&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07
LH_lease_99,373,국민임대,"[정정공고]화성태안6,8,12 국민임대주택 예비입주자 모집",경기도,2024.12.11,2024.12.19,접수마감,30576,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017288&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07
LH_lease_101,378,국민임대,"[정정공고]시흥능곡지구 국민임대주택 예비입주자 모집(능곡2,5,6,7,9,13)",경기도,2024.12.11,2024.12.18,접수마감,4472,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017287&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07
