ID,번호,유형,공고명,지역,게시일,마감일,상태,조회수,URL
LH_sale_85,1710,분양주택,서울강남권도시형주택 석촌·송파 공가세대 일반공급 입주자모집공고(무순위),서울특별시,2025.05.30,2025.06.11,접수마감,81208,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300018175&ccrCnntSysDsCd=03&uppAisTpCd=05&aisTpCd=05
LH_sale_86,1720,공공분양(신혼희망),[정정공고]과천지식정보타운 S-7블록 신혼희망타운(공공분양) 잔여세대 추가입주자모집공고,경기도,2025.06.02,2025.06.18,접수마감,602266,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060891&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_87,1722,공공분양(신혼희망),[정정공고]의왕초평 A-3블록 신혼희망타운(공공분양) 잔여세대 추가입주자모집공고,경기도,2025.06.02,2025.06.17,접수마감,57419,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060892&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_94,1956,공공분양(신혼희망),서울공릉지구 신혼희망타운(공공분양) 추가 입주자모집공고,서울특별시,2025.06.27,2025.07.10,접수마감,102331,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060903&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_95,1979,분양주택,고양장항 S-1블록 공공분양주택 입주자모집공고,경기도,2025.06.30,2025.07.18,접수마감,85011,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060904&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_97,2024,분양주택,부천 두산위브트레지움 1단지(부천약대1) 공가세대 일반매각 공고(선착순 동호지정),경기도,2025.07.03,2025.11.30,공고중,74638,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300018333&ccrCnntSysDsCd=03&uppAisTpCd=05&aisTpCd=05
LH_sale_98,2077,분양주택,[정정공고]고양장항 S-1블록 공공분양주택 입주자모집공고,경기도,2025.07.09,2025.07.18,접수마감,121803,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060911&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_106,2250,공공분양(신혼희망),남양주왕숙 A-2블록 신혼희망타운(공공분양) 입주자모집공고,경기도,2025.07.24,2025.08.08,접수마감,37186,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060921&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_107,2251,분양주택,남양주왕숙 A-1블록 공공분양주택 입주자모집공고,경기도,2025.07.24,2025.08.08,접수마감,75285,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060920&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_110,2255,공공분양(신혼희망),평택고덕 A-57-2블록 신혼희망타운(공공분양) 잔여세대 추가입주자모집공고,경기도,2025.07.24,2025.08.04,접수마감,17328,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060916&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_111,2276,공공분양(신혼희망),구리갈매역세권 A-1블록 신혼희망타운(공공분양) 입주자모집공고,경기도,2025.07.29,2025.08.14,접수마감,50603,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060929&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_112,2277,분양주택,왕숙 푸르지오 더 퍼스트(남양주왕숙 B-2BL)공공분양주택(민간참여형) 입주자모집공고,경기도,2025.07.29,2025.08.14,접수마감,108996,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060928&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_113,2278,분양주택,왕숙 푸르지오 더 퍼스트(남양주왕숙 B-1BL)공공분양주택(민간참여형) 입주자모집공고,경기도,2025.07.29,2025.08.14,접수마감,118757,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060927&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_114,2280,분양주택,[정정공고]남양주왕숙 A-1블록 공공분양주택 입주자모집공고,경기도,2025.07.29,2025.08.08,접수마감,107396,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060926&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_115,2281,공공분양(신혼희망),[정정공고]남양주왕숙 A-2블록 신혼희망타운(공공분양) 입주자모집공고,경기도,2025.07.29,2025.08.08,접수마감,62847,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060931&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_116,2286,공공분양(신혼희망),남양주진접2 A-4블록 신혼희망타운(공공분양) 입주자모집공고,경기도,2025.07.30,2025.08.14,접수마감,25742,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060922&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_117,2287,분양주택,남양주진접2 A-1블록 공공분양주택 입주자모집 공고,경기도,2025.07.30,2025.08.19,접수마감,47714,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060918&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_119,2337,공공분양(신혼희망),[정정공고]구리갈매역세권 A-1블록 신혼희망타운(공공분양) 입주자모집공고,경기도,2025.08.06,2025.08.14,접수마감,78505,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060943&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_120,2338,분양주택,[정정공고]남양주진접2 A-1블록 공공분양주택 입주자모집 공고,경기도,2025.08.06,2025.08.19,접수마감,88631,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060938&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_121,2339,공공분양(신혼희망),[정정공고]남양주진접2 A-4블록 신혼희망타운(공공분양) 입주자모집공고,경기도,2025.08.06,2025.08.14,접수마감,34206,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060937&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_123,2351,공공분양(신혼희망),과천주암 C2블록 신혼희망타운(공공분양) 입주자모집공고,경기도,2025.08.08,2025.08.21,접수마감,205619,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060939&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_128,2449,분양주택,"경기남부권(성남·수원·안양·오산·화성) 공가세대 일반매각 공고(무순위, 무주택, 수도권거주제한, 잔금납부 70일 이내)",경기도,2025.08.28,2025.09.09,접수마감,63082,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300018635&ccrCnntSysDsCd=03&uppAisTpCd=05&aisTpCd=05
LH_sale_129,2450,분양주택,"경기남부권(성남) 공가세대 일반매각 공고(무순위, 유주택자계약가능, 수도권거주제한, 잔금납부 70일 이내)",경기도,2025.08.28,2025.09.09,접수마감,10980,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300018634&ccrCnntSysDsCd=03&uppAisTpCd=05&aisTpCd=05
LH_sale_130,2451,분양주택,"[정정공고]경기남부권(성남) 공가세대 일반매각 공고(무순위, 유주택자계약가능, 수도권거주제한, 잔금납부 70일 이내)",경기도,2025.08.28,2025.09.09,접수마감,44907,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300018650&ccrCnntSysDsCd=03&uppAisTpCd=05&aisTpCd=05
LH_sale_131,2452,분양주택,의정부우정 A-1블록 공공분양주택 입주자모집공고,경기도,2025.08.28,2025.09.19,접수마감,52072,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060959&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_135,2527,공공분양(신혼희망),평택고덕 A-53블록 신혼희망타운(공공분양) 추가입주자모집공고[순번추첨 동호지정계약],경기도,2025.09.09,2025.09.19,접수마감,16957,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060966&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_136,2642,공공분양(신혼희망),"고양장항 A-2, A-4, A-5블록 신혼희망타운(공공분양) 잔여세대 추가입주자모집공고",경기도,2025.09.15,2025.09.26,접수마감,56927,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060962&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_137,2649,분양주택,고양지축 B-1블록 공공분양주택 잔여세대 추가입주자모집공고,경기도,2025.09.15,2025.09.26,접수마감,68566,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060970&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_140,2685,공공분양(신혼희망),남양주별내 A25블록 신혼희망타운(공공분양) 추가입주자모집공고,경기도,2025.09.18,2025.09.30,접수마감,23813,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060964&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_141,2687,공공분양(신혼희망),시흥하중 A-4블록 신혼희망타운(공공분양) 입주자모집공고,경기도,2025.09.19,2025.10.02,접수마감,24860,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060972&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_144,2704,공공분양(신혼희망),[정정공고]시흥하중 A-4블록 신혼희망타운(공공분양) 입주자모집공고,경기도,2025.09.23,2025.10.02,접수마감,33291,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060985&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_146,2707,공공분양(신혼희망),[정정공고]남양주별내 A25블록 신혼희망타운(공공분양) 추가입주자모집공고,경기도,2025.09.23,2025.09.30,접수마감,39272,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060986&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_148,2728,분양주택,남양주진접2 A-7블록 공공분양주택 입주자모집 공고,경기도,2025.09.26,2025.10.17,접수마감,151414,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060988&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_156,2821,분양주택,"파주운정3 A16, A17, A22, A23블록 공공분양주택 잔여세대 추가 입주자모집공고",경기도,2025.10.17,2025.10.28,접수마감,84046,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060978&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
