ID,번호,유형,공고명,지역,게시일,마감일,상태,조회수,URL
LH_sale_2,23,분양주택,양주옥정 A-4(1)블록 공공분양주택 추가모집(5년 무이자할부 및 발코니 확장비 무상지원),경기도,2024.11.04,2024.11.08,접수마감,16955,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060771&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_5,65,공공분양(신혼희망),의왕월암 A-1 및 A-3블록 신혼희망타운(공공분양) 입주자모집공고,경기도,2024.11.08,2024.11.21,접수마감,17969,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060770&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_7,70,공공분양(신혼희망),[정정공고]의왕월암 A-1 및 A-3블록 신혼희망타운(공공분양) 입주자모집공고,경기도,2024.11.08,2024.11.21,접수마감,47629,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060775&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_8,99,공공분양(신혼희망),위례 A2-7블록 신혼희망타운(공공분양) 잔여세대 입주자모집공고,경기도,2024.11.13,2024.11.26,접수마감,105265,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060773&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_10,129,공공분양(신혼희망),수원당수 A5블록 신혼희망타운(공공분양) 입주자모집공고,경기도,2024.11.15,2024.11.28,접수마감,52060,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060776&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_17,338,분양주택,양주옥정 A-4(1)블록 공공분양주택 추가모집(5년무이자할부 및 발코니확장비 무상지원),경기도,2024.12.06,2024.12.11,접수마감,13953,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060789&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_18,339,분양주택,석촌·송파(도시형생활주택) 공가세대 일반공급 입주자모집공고(무순위),서울특별시,2024.12.06,2024.12.11,접수마감,56472,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017256&ccrCnntSysDsCd=03&uppAisTpCd=05&aisTpCd=05
LH_sale_25,574,공공분양(신혼희망),의왕청계2 A1블록 신혼희망타운(공공분양) 입주자모집공고,경기도,2024.12.30,2025.01.16,접수마감,82555,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060793&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_26,582,공공분양(신혼희망),성남금토 A-4블록 신혼희망타운(공공분양) 입주자모집공고,경기도,2024.12.31,2025.01.16,접수마감,46215,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060795&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_27,603,공공분양(신혼희망),[정정공고]성남금토 A-4블록 신혼희망타운(공공분양) 입주자모집공고,경기도,2025.01.03,2025.01.16,접수마감,26638,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060796&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_28,614,공공분양(신혼희망),[정정공고][정정공고]성남금토 A-4블록 신혼희망타운(공공분양) 입주자모집공고,경기도,2025.01.08,2025.01.16,접수마감,83224,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060797&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_32,699,분양주택,고양창릉 S-5블록 공공분양주택 입주자모집공고,경기도,2025.01.31,2025.02.21,접수마감,98638,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060803&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_33,700,분양주택,고양창릉 S-6블록 공공분양주택 입주자모집공고,경기도,2025.01.31,2025.02.21,접수마감,98372,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060804&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_34,701,공공분양(신혼희망),고양창릉 A-4블록 신혼희망타운(공공분양) 입주자모집공고,경기도,2025.01.31,2025.02.21,접수마감,81822,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060802&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_35,752,공공분양(신혼희망),[정정공고]고양창릉 A-4블록 신혼희망타운(공공분양) 입주자모집공고,경기도,2025.02.11,2025.02.21,접수마감,79373,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060809&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_36,753,분양주택,[정정공고]고양창릉 S-6블록 공공분양주택 입주자모집공고,경기도,2025.02.11,2025.02.21,접수마감,81514,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060808&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_37,754,분양주택,[정정공고]고양창릉 S-5블록 공공분양주택 입주자모집공고,경기도,2025.02.11,2025.02.21,접수마감,156327,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060807&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_44,1119,공공분양(신혼희망),평택고덕 A-53블록 신혼희망타운(공공분양) 추가입주자모집공고[순번추첨 동호지정계약],경기도,2025.03.27,2025.04.07,접수마감,21016,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060839&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_46,1143,분양주택,교산 푸르지오 더 퍼스트(하남교산 A-2BL)공공분양주택 입주자모집공고,경기도,2025.03.31,2025.05.09,접수마감,237302,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060838&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_52,1259,분양주택,양주옥정 A-4(1)블록 공공분양주택 추가모집(5년 무이자할부 및 발코니 확장비 무상지원),경기도,2025.04.16,2025.04.29,접수마감,31309,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060850&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_54,1286,분양주택,[정정공고]교산 푸르지오 더 퍼스트(하남교산 A-2BL)공공분양주택 입주자모집공고,경기도,2025.04.22,2025.05.09,접수마감,41687,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060855&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_57,1303,분양주택,[정정공고][정정공고]교산 푸르지오 더 퍼스트(하남교산 A-2BL)공공분양주택 입주자모집공고,경기도,2025.04.24,2025.05.09,접수마감,300359,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060861&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_60,1370,분양주택,부천대장 A7블록 공공분양주택 입주자모집공고,경기도,2025.04.30,2025.05.23,접수마감,72956,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060863&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_61,1371,분양주택,부천대장 A8블록 공공분양주택 입주자모집공고,경기도,2025.04.30,2025.05.23,접수마감,76331,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060865&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_62,1380,공공분양(신혼희망),e편한세상 대장 퍼스티움(부천대장 A-5BL) 신혼희망타운(공공분양) 입주자모집공고,경기도,2025.04.30,2025.05.15,접수마감,90910,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060866&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_63,1381,공공분양(신혼희망),e편한세상 대장 퍼스티움(부천대장 A-6BL) 신혼희망타운(공공분양) 입주자모집공고,경기도,2025.04.30,2025.05.15,접수마감,93177,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060867&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_64,1387,분양주택,남양주 금곡신도브래뉴 공가주택 일반매각 공고(선착순),경기도,2025.04.30,2025.05.22,접수마감,18376,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017966&ccrCnntSysDsCd=03&uppAisTpCd=05&aisTpCd=05
LH_sale_67,1396,분양주택,"[정정공고]경기남부권(수원·안양·오산) 공가세대 일반매각 공고(선착순동·호지정, 유주택자 계약가능, 잔금납부 90일 이내)",경기도,2025.05.02,2025.12.31,공고중,107926,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017976&ccrCnntSysDsCd=03&uppAisTpCd=05&aisTpCd=05
LH_sale_69,1441,분양주택,[정정공고]부천대장 A8블록 공공분양주택 입주자모집공고,경기도,2025.05.12,2025.05.23,접수마감,86460,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060872&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_70,1442,분양주택,[정정공고]부천대장 A7블록 공공분양주택 입주자모집공고,경기도,2025.05.12,2025.05.23,접수마감,103757,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060870&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_74,1589,공공분양(신혼희망),의왕월암 A-1 및 A-3블록 신혼희망타운(공공분양) 잔여세대 추가입주자모집공고,경기도,2025.05.22,2025.06.05,접수마감,35039,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060873&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_75,1608,공공분양(신혼희망),부천괴안B-1블록 신혼희망타운(공공분양) 잔여세대 추가입주자모집공고,경기도,2025.05.22,2025.06.04,접수마감,12551,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060877&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_77,1624,공공분양(신혼희망),[정정공고]부천괴안B-1블록 신혼희망타운(공공분양) 잔여세대 추가입주자모집공고,경기도,2025.05.26,2025.06.04,접수마감,7370,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060878&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_78,1664,분양주택,양주회천 A24블록 공공분양주택 잔여세대 추가입주자모집공고(순번추첨 동호지정),경기도,2025.05.28,2025.06.11,접수마감,13957,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060880&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_79,1682,공공분양(신혼희망),[정정공고][정정공고]부천괴안B-1블록 신혼희망타운(공공분양) 잔여세대 추가입주자모집공고,경기도,2025.05.29,2025.06.04,접수마감,11909,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060887&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_80,1684,공공분양(신혼희망),의왕초평 A-3블록 신혼희망타운(공공분양) 잔여세대 추가입주자모집공고,경기도,2025.05.29,2025.06.17,접수마감,11231,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060882&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_81,1686,분양주택,"고양원당 e편한세상, 래미안 휴레스트 공가주택 일반매각 공고(무순위)",경기도,2025.05.29,2025.06.20,접수마감,61625,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300018160&ccrCnntSysDsCd=03&uppAisTpCd=05&aisTpCd=05
LH_sale_82,1687,공공분양(신혼희망),과천지식정보타운 S-7블록 신혼희망타운(공공분양) 잔여세대 추가입주자모집공고,경기도,2025.05.29,2025.06.18,접수마감,102825,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060883&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_83,1704,공공분양(신혼희망),서울대방 신혼희망타운(공공분양) 잔여세대 입주자모집공고,서울특별시,2025.05.30,2025.06.12,접수마감,123330,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060876&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_84,1705,공공분양(신혼희망),성남복정1 A2블록 신혼희망타운(공공분양) 잔여세대 입주자모집공고,경기도,2025.05.30,2025.06.12,접수마감,78481,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060879&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
