ID,유형,공고명,지역,게시일,마감일,상태,조회수,URL
LH_lease_1,국민임대,"[선계약후검증, 동호지정] 도청이전신도시 RH-11BL 국민임대주택 입주자 추가모집 공고('24.11.01)",충청남도,2024.11.01,2024.11.15,접수마감,20464,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017110&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07
LH_lease_2,국민임대,태백철암1 국민임대주택 예비입주자 모집 공고,강원특별자치도,2024.11.01,2024.11.15,접수마감,4264,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017107&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07
LH_lease_3,국민임대,"[선계약후검증, 동호지정] 도청이전신도시 RH10-2BL 국민임대주택 입주자 추가모집 공고('24.11.01)",충청남도,2024.11.01,2024.11.15,접수마감,21960,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017109&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07
LH_lease_4,영구임대,광주쌍촌 영구임대주택 예비입주자 모집 공고(공고일 : 2024.11.05),광주광역시,2024.11.05,2024.11.22,접수마감,17506,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017097&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=09
LH_lease_5,영구임대,광주각화 영구임대주택 예비입주자 모집 공고(공고일: 2024.11.05.),광주광역시,2024.11.05,2024.11.22,접수마감,10232,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017086&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=09
LH_lease_6,영구임대,아산읍내 영구임대주택 예비입주자 모집공고(공고일:2024.11.05),충청남도,2024.11.05,2024.11.22,접수마감,17023,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017090&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=09
LH_lease_7,공공임대,익산부송3단지 50년 공공임대 예비입주자 모집,전북특별자치도,2024.11.05,2024.11.20,접수마감,7996,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017123&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=08
LH_lease_8,국민임대,남양주시 지역 국민임대주택 예비입주자 모집,경기도,2024.11.05,2024.11.21,접수마감,48633,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017094&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07
LH_lease_9,공공임대,음성금왕1 50년공공임대주택 예비입주자 모집 공고[2024.11.06],충청북도,2024.11.06,2024.11.20,접수마감,9430,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017130&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=08
LH_lease_10,국민임대,[정정공고]남양주시 지역 국민임대주택 예비입주자 모집,경기도,2024.11.06,2024.11.21,접수마감,88368,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017134&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07
