TC,질문,재구성,멀티쿼리,검색,리랭킹,병합,컨텍스트,답변,총시간,검색수,병합수
TC-01,수원시 행복주택 알려줘,1.7770240306854248,1.1440320014953613,1.1461598873138428,12.19530701637268,4.696846008300781e-05,1.3828277587890625e-05,5.011314868927002,21.274604082107544,18,7
TC-02,경기도 접수중인 공고 찾아줘,1.4775760173797607,1.2295219898223877,1.1845760345458984,12.477301120758057,5.0067901611328125e-05,2.09808349609375e-05,1.5014228820800781,17.87107491493225,22,16
TC-03,수원시 행복주택 신청자격 알려줘,1.6331961154937744,1.0448729991912842,0.9551389217376709,9.951602935791016,4.887580871582031e-05,1.4781951904296875e-05,18.28912091255188,31.87478494644165,18,10
TC-04,서울 영등포구 국민임대 전용면적 얼마야,1.935046911239624,1.2932488918304443,0.2934410572052002,9.232791900634766,3.0994415283203125e-05,1.2874603271484375e-05,1.947511911392212,14.702829122543335,17,11
