TC,질문,재구성,멀티쿼리,검색,리랭킹,병합,컨텍스트,답변,총시간,검색수,병합수
TC-01,신혼부부에게 적절한 경기도 공고 알려줘,2.915144920349121,1.2255468368530273,1.228727102279663,16.430940866470337,0.00011801719665527344,3.886222839355469e-05,11.198315143585205,32.99959397315979,25,20
TC-02,경기도 접수중인 공고 찾아줘,2.990211009979248,1.5340087413787842,1.2495241165161133,14.608456134796143,8.916854858398438e-05,3.910064697265625e-05,2.938810110092163,23.32186007499695,24,17
TC-03,수원시 행복주택 신청자격 알려줘,1.8037266731262207,1.4341151714324951,1.0998153686523438,10.413726329803467,7.081031799316406e-05,2.5987625122070312e-05,7.434229135513306,22.18639302253723,18,8
TC-04,평택고덕 A-53블록 신혼희망타운 행복주택 입주자격완화 추가모집에서 제공하는 집의 면적 얼마야,2.1956369876861572,1.6075491905212402,1.1255261898040771,10.911067008972168,0.00010085105895996094,3.814697265625e-05,1.6849000453948975,17.52559185028076,17,12
