TC,질문,재구성,멀티쿼리,검색,리랭킹,병합,컨텍스트,답변,총시간,검색수,병합수
TC-01,수원시 행복주택 공고 알려줘,1.2167139053344727,1.4517178535461426,1.0786569118499756,12.420637130737305,0.00010180473327636719,3.695487976074219e-05,4.091321706771851,20.26000690460205,18,9
TC-02,수원매산 A1블록 행복주택 신청자격 알려줘,1.5274600982666016,2.487936019897461,1.0965259075164795,9.341715812683105,8.869171142578125e-05,3.5762786865234375e-05,4.8135271072387695,19.273836851119995,16,9
TC-03,수원매산 A1블록 행복주택 전용면적과 임대료 얼마야,2.4419126510620117,2.391808032989502,0.8901588916778564,14.326781988143921,0.00010585784912109375,3.3855438232421875e-05,13.149334907531738,33.20096683502197,24,12
TC-04,수원매산 A1블록 행복주택 청약 접수기간 알려줘,2.3746399879455566,1.3412930965423584,1.143953800201416,9.625349998474121,6.103515625e-05,1.5974044799804688e-05,9.396372318267822,23.882317066192627,16,8
