TC,질문,재구성,멀티쿼리,검색,리랭킹,병합,컨텍스트,답변,총시간,검색수,병합수
TC-01,수원시 행복주택 공고 알려줘,3.6557841300964355,1.4430179595947266,1.2429711818695068,11.750450849533081,9.703636169433594e-05,2.6941299438476562e-05,14.33764100074768,32.430700063705444,17,8
TC-02,수원매산 A1블록 행복주택 신청자격 알려줘,1.6578919887542725,1.8417158126831055,1.1852679252624512,9.02547311782837,8.511543273925781e-05,2.47955322265625e-05,4.241062879562378,17.955080032348633,16,9
TC-03,수원매산 A1블록 행복주택 전용면적 얼마야,1.2510709762573242,0.9179611206054688,1.2893450260162354,10.64926290512085,6.985664367675781e-05,1.621246337890625e-05,2.654648780822754,16.76302218437195,17,8
TC-04,수원매산 A1블록 행복주택 접수 일정 알려줘,2.236398935317993,2.0224392414093018,1.0183720588684082,11.034873962402344,5.412101745605469e-05,2.09808349609375e-05,2.5268521308898926,18.83970618247986,18,9
